JobID = 113294.sdb
 
 Simple Parallel IO benchmark
 ----------------------------
 
 Running on         2304  process(es)
 Process grid is (          12 ,           12 ,           16 )
 Array size is   (         256 ,          256 ,          256 )
 Global size is  (        3072 ,         3072 ,         4096 )
 
 Total amount of data =    294912.000000000       MiB
 
 Clock resolution is    1.00000000000000      , usecs
 
 ------
 Serial                                                          
 ------
 
 Writing to unstriped/serial.dat                                            
 time =    578.303820133209      , rate =    509.960317972772       MiB/s
 time =    622.109308958054      , rate =    474.051739386341       MiB/s
 time =    728.903272867203      , rate =    404.596893686509       MiB/s
 time =    736.230623960495      , rate =    400.570134414600       MiB/s
 time =    609.724745988846      , rate =    483.680549198827       MiB/s
 time =    610.070625066757      , rate =    483.406326878514       MiB/s
 time =    753.596461057663      , rate =    391.339417366816       MiB/s
 time =    539.307912111282      , rate =    546.834180209741       MiB/s
 time =    627.040292978287      , rate =    470.323842506581       MiB/s
 time =    593.448574066162      , rate =    496.946176783839       MiB/s
 mintime =    539.307912111282      , maxrate =    546.834180209741       MiB/s
 avgtime =    639.873563718796      , avgrate =    466.170957840454       MiB/s
 Deleting: unstriped/serial.dat                                            
 
 Writing to striped/serial.dat                                              
 time =    525.134931087494      , rate =    561.592806993950       MiB/s
 time =    532.316377878189      , rate =    554.016393738472       MiB/s
 time =    542.091566801071      , rate =    544.026172073292       MiB/s
 time =    542.175823926926      , rate =    543.941627393088       MiB/s
 time =    535.526428937912      , rate =    550.695510182172       MiB/s
 time =    535.510025978088      , rate =    550.712378281536       MiB/s
 time =    540.368653059006      , rate =    545.760747464744       MiB/s
 time =    542.210856914520      , rate =    543.906482578037       MiB/s
 time =    537.477839946747      , rate =    548.696110018638       MiB/s
 time =    538.403429985046      , rate =    547.752825438335       MiB/s
 mintime =    525.134931087494      , maxrate =    561.592806993950       MiB/s
 avgtime =    537.121593451500      , avgrate =    549.110105416226       MiB/s
 Deleting: striped/serial.dat                                              
 
 
 ------
 MPI-IO                                                          
 ------
 
 Writing to unstriped/mpiio.dat                                             
 time =    772.827921152115      , rate =    381.601119639093       MiB/s
 time =    767.042644977570      , rate =    384.479274954294       MiB/s
 time =    768.253898859024      , rate =    383.873092525778       MiB/s
 time =    768.760796070099      , rate =    383.619978421882       MiB/s
 time =    767.948868036270      , rate =    384.025567684112       MiB/s
 time =    767.602660179138      , rate =    384.198772749401       MiB/s
 time =    766.018543958664      , rate =    384.993290731502       MiB/s
 time =    765.637042045593      , rate =    385.185125333105       MiB/s
 time =    768.189149141312      , rate =    383.905448716186       MiB/s
 time =    768.674712181091      , rate =    383.662940027253       MiB/s
 mintime =    765.637042045593      , maxrate =    385.185125333105       MiB/s
 avgtime =    768.095623660088      , avgrate =    383.954461078261       MiB/s
 Deleting: unstriped/mpiio.dat                                             
 
 Writing to striped/mpiio.dat                                               
 time =    49.5605309009552      , rate =    5950.54158296589       MiB/s
 time =    52.0974719524384      , rate =    5660.77371794999       MiB/s
